id,tenant_scope,actor_role,source_menu,frontend_route,layout_guard_file,layout_guard_roles,menu_visibility_roles,action,backend_endpoint,backend_controller_method,backend_enforcement,backend_enforcement_file,test_reference,status,severity,root_cause,ui_class,maker_checker_role,notification_channel,component_id
M11,id_madrasah,"Admin Madrasah, Kepala Madrasah, Wali Kelas, Guru (is_pengajar_aktif)",Penjadwalan,/akademik/jadwal,app/akademik/layout.tsx,"Admin,Kamad,Wali Kelas,is_pengajar_aktif","Admin,Kamad,Wali Kelas,is_pengajar_aktif",view/CRUD jadwal,GET/POST/PUT/DELETE /api/v1/jadwal,JadwalController,EnforceApiContract middleware (Admin/Kamad/Wali Kelas/Pengajar),backend/app/Http/Middleware/EnforceApiContract.php,tests/Feature/Jadwal/JadwalCollisionTest.php,PASS,-,Frontend sidebar menu visibility aligned with layout guard and backend middleware.,shared,none,none,
M12,id_madrasah,"Admin Madrasah, Kepala Madrasah, Wali Kelas, Guru (is_pengajar_aktif)",Presensi Siswa (Sesi),/akademik/presensi-siswa,app/akademik/layout.tsx,"Admin,Kamad,Wali Kelas,is_pengajar_aktif","Admin,Kamad,Wali Kelas,is_pengajar_aktif",submit batch attendance,POST /api/v1/absensi-siswa/batch,AbsensiSiswaController::storeBatch,Row-level validation via PegawaiAccessService::isPengajar against JadwalPelajaran,backend/app/Http/Controllers/Api/AbsensiSiswaController.php:37,none found,PASS,-,Row-level is_pengajar validation enforced.,shared,none,none,
M13,id_madrasah,"Admin Madrasah, Kepala Madrasah, Wali Kelas, Guru (is_pengajar_aktif)",Nilai Harian,/akademik/nilai,app/akademik/layout.tsx,"Admin,Kamad,Wali Kelas,is_pengajar_aktif","Admin,Kamad,Wali Kelas,is_pengajar_aktif",input nilai,POST/PUT /api/v1/nilai,NilaiController,Row-level is_pengajar validation on active semester JadwalPelajaran,backend/app/Http/Controllers/Api/NilaiController.php,none found,PASS,-,Row-level is_pengajar validation verified.,shared,none,none,
M14,id_madrasah,"Admin Madrasah, Kepala Madrasah",Data Pegawai,/kepegawaian/pegawai,app/kepegawaian/layout.tsx,"Admin,Kamad","Admin,Kamad",CRUD pegawai (HR/NIK data),GET/POST/PUT/DELETE /api/v1/pegawai,PegawaiController,EnforceApiContract middleware (Admin/Kamad only),backend/app/Http/Middleware/EnforceApiContract.php,none found,PASS,-,Gated via EnforceApiContract middleware; PII protected from unauthorized role access.,shared,none,none,
M15,id_madrasah,"Admin Madrasah, Kepala Madrasah",Izin Guru,/kepegawaian/izin,app/kepegawaian/layout.tsx,"Admin,Kamad","Admin,Kamad",record izin guru,POST /api/v1/izin-guru,IzinGuruController,explicit role check present,backend/app/Http/Controllers/Api/IzinGuruController.php,"tests/Feature/Auth/AuthorizationGuardTest.php::guru_biasa_dilarang_mencatat_izin_guru, ::admin_atau_kamad_berhak_mencatat_izin_guru",PASS,-,Correctly gated and covered by both positive and negative tests.,shared,none,none,
M16,id_madrasah,"Admin Madrasah, Kepala Madrasah",Kedisiplinan & JTM,/kepegawaian/kedisiplinan,app/kepegawaian/layout.tsx,"Admin,Kamad","Admin,Kamad",manage kedisiplinan,various /api/v1/kedisiplinan,KedisiplinanController,Gate::authorize('rekap-kedisiplinan') -> KedisiplinanPolicy::rekap,backend/app/Policies/KedisiplinanPolicy.php,tests/Feature/Kedisiplinan/KedisiplinanControllerTest.php,PASS,-,Gated and verified with test suite.,shared,none,none,
M17,id_madrasah,"Admin Madrasah, Guru BK-owned only",Ekstrakurikuler,/ekstrakurikuler,app/ekstrakurikuler/layout.tsx,"Admin,Pembina Ekstrakurikuler","Admin,Pembina Ekstrakurikuler","CRUD ekskul, keanggotaan, absensi","POST/PUT /api/v1/ekstrakurikuler, /anggota, /absensi",EkstrakurikulerController,authorizePembina() enforces id_pembina row-level scope for non-Admin users,backend/app/Http/Controllers/Api/EkstrakurikulerController.php,tests/Unit/Models/EkstraModelsTest.php,PASS,-,Row-level id_pembina scope enforced and tested.,shared,none,none,
M18,id_madrasah,"Kepala Madrasah, Guru BK",Bimbingan Konseling,/bk,app/bk/layout.tsx,"Kamad,Guru BK","Kamad,Guru BK",CRUD catatan_bk,POST /api/v1/bk/catatan,BkController,explicit role check present,backend/app/Http/Controllers/Api/BkController.php,"tests/Feature/Auth/AuthorizationGuardTest.php::operator_dilarang_mencatat_bk, ::guru_bk_berhak_mencatat_bk",PASS,-,Base module gate tested and correct.,scoped_contributor,none,none,
M19,id_madrasah,"Kepala Madrasah, Guru BK (author only for Rahasia)",Bimbingan Konseling,/bk,app/bk/layout.tsx,"Kamad,Guru BK","Kamad,Guru BK",read catatan_bk with tingkat_kerahasiaan=Rahasia,GET /api/v1/bk/catatan,BkController::index,RLS scope filters Rahasia records to authoring Guru BK and Kamad,backend/app/Http/Controllers/Api/BkController.php,none found,PASS,-,Confidentiality filter enforced at query scope.,shared,none,none,
M20,id_madrasah,"Admin Madrasah, Operator Kesiswaan, Kepala Madrasah",Buat & Arsip Surat,/persuratan,app/persuratan/layout.tsx,"Admin,Operator,Kamad","Admin,Operator,Kamad",create/manage surat,various /api/v1/surat,SuratController,EnforceApiContract + SuratController role checks,backend/app/Http/Controllers/Api/SuratController.php,tests/Feature/Persuratan/SuratSignatureTest.php,PASS,-,Guarded and tested.,shared,none,none,
M21,id_madrasah,"Admin Madrasah, Operator Kesiswaan, Kepala Madrasah",Template Surat,/persuratan (sub-feature),app/persuratan/layout.tsx,"Admin,Operator,Kamad","Admin,Operator,Kamad",create surat template,POST /api/v1/template-surat,TemplateSuratController::store,EnforceApiContract middleware (Admin/Operator/Kamad),backend/app/Http/Middleware/EnforceApiContract.php,tests/Feature/Persuratan/TemplateSuratTest.php,PASS,-,Guarded via central middleware and verified with tests.,shared,none,none,
M22,id_madrasah,"Admin Madrasah, Kepala Madrasah, Wali Kelas",Dashboard AI (Wawasan),/wawasan,app/wawasan/layout.tsx,"Admin,Kamad,Wali Kelas","Admin,Kamad,Wali Kelas",view AI insights,GET /api/v1/wawasan/*,WawasanController,WawasanController checks id_rombel Wali Kelas assignment,backend/app/Http/Controllers/Api/WawasanController.php,tests/Feature/Kepegawaian/WawasanTest.php,PASS,-,Row-level Wali Kelas scope enforced and verified with tests.,shared,none,none,
M23,id_madrasah,Admin Madrasah,"Mapel, Tingkat, Libur",/referensi,app/referensi/layout.tsx,Admin,Admin,"CRUD tahun ajaran, mata pelajaran, tingkat, hari libur; activate tahun ajaran","POST/PUT/DELETE /api/v1/referensi/*, incl. PATCH tahun-ajaran/{id}/aktifkan",ReferensiController,EnforceApiContract middleware (Admin Madrasah only),backend/app/Http/Middleware/EnforceApiContract.php,none found,PASS,-,Central middleware enforces Admin Madrasah restriction.,shared,none,none,
M24,id_madrasah,none (public reference data),Wilayah lookups,/referensi/wilayah,app/referensi/layout.tsx,Admin,Admin,read provinsi/kabupaten/kecamatan/desa,GET /api/v1/wilayah/*,WilayahController,no role check (by design -- public reference data),backend/app/Http/Controllers/Api/WilayahController.php,tests/Feature/Referensi/WilayahTest.php,PASS,-,Public reference data verified with WilayahTest.,shared,none,none,
M25,id_madrasah,Admin Madrasah,Kelola Akun & Penugasan,/akun,app/akun/layout.tsx,Admin,Admin,assign/revoke jabatan (privilege grant),POST/DELETE /api/v1/penugasan-jabatan,PenugasanJabatanController,PenugasanJabatanPolicy: create/delete -> isAdminMadrasah(); viewAny -> isAdminOrKamad(),backend/app/Policies/PenugasanJabatanPolicy.php,tests/Feature/Kepegawaian/PenugasanJabatanTest.php,PASS,-,Correctly gated and verified via test suite.,shared,none,none,
M26,none (no tenant/data model exists yet),Orang Tua/Wali,Portal Orang Tua,/portal-ortu,none,ALL_AUTHENTICATED,ALL_AUTHENTICATED,view child data,not implemented / no orang_tua entity,n/a,n/a,n/a,none found,CONTRACT GAP,High,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 12 documents this as an open gap: no orang_tua entity exists yet. UI marked with Coming Soon.,shared,none,none,
M27,id_madrasah,"Admin Madrasah, Operator Kesiswaan, Kepala Madrasah",Kenaikan Kelas,/kesiswaan/kenaikan-kelas,app/kesiswaan/layout.tsx,"Admin,Operator,Kamad","Admin,Operator,Kamad",kenaikan_kelas.view,GET /api/v1/kenaikan-kelas,KenaikanKelasController::index,EnforceApiContract middleware,backend/app/Http/Middleware/EnforceApiContract.php,none,PASS,-,-,shared,none,none,
