module,menu,route,layout,page,widget,child_component,state,label,action,frontend_guard,api_endpoint,http_method,backend_guard,row_scope,tenant_scope,allowed_actor,denied_actor,expected_behavior,ssot_reference,evidence_source,status
Persetujuan,Kotak Persetujuan,/persetujuan,PersetujuanLayout,PersetujuanPage,SkpPreviewModal,SignSkpBtn,pending,Setujui & TTD SKP,approveAndSignMutasiSkp,isKepalaMadrasah,/api/v1/persetujuan/mutasi/{id}/approve-sign-skp,POST,isKepalaMadrasah(),none,id_madrasah,Kepala Madrasah,Admin;Operator;Guru,Approves mutasi and issues signed digital SKP document,doc/backend.md Bab 7,tests/Feature/Kesiswaan/KesiswaanWorkflowTest.php,SOURCE_VERIFIED
Kesiswaan,Data Siswa Induk,/kesiswaan/siswa,KesiswaanLayout,SiswaListPage,SiswaTable,SiswaRow,any,Lihat List Siswa,fetchSiswa,isAdmin||isKamad||isOps||isWK||isBK,/api/v1/siswa,GET,SiswaPolicy::viewAny,none,id_madrasah,Admin;Kamad;Operator;Wali Kelas;Guru BK,Guru Biasa (non-WK),Returns paginated list of students in madrasah,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Unit/Policies/SiswaPolicyTest.php,SOURCE_VERIFIED
Kesiswaan,Data Siswa Induk,/kesiswaan/siswa/tambah,KesiswaanLayout,TambahSiswaPage,SiswaForm,SubmitBtn,initial,Tambah Siswa,storeSiswa,isAdmin||isKamad||isOps,/api/v1/siswa,POST,SiswaPolicy::create,none,id_madrasah,Admin;Kamad;Operator,Guru BK;Wali Kelas;Guru Biasa,Creates new student record in current tenant,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Unit/Policies/SiswaPolicyTest.php,SOURCE_VERIFIED
Kesiswaan,Data Siswa Induk,/kesiswaan/siswa/[id],KesiswaanLayout,DetailSiswaPage,SiswaHeader,EditBtn,any,Update Siswa,updateSiswa,isAdmin||isKamad||isOps,/api/v1/siswa/{id},PUT,SiswaPolicy::update,none,id_madrasah,Admin;Kamad;Operator,Guru BK;Wali Kelas;Guru Biasa,Updates student master detail information,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Unit/Policies/SiswaPolicyTest.php,SOURCE_VERIFIED
Kesiswaan,Data Siswa Induk,/kesiswaan/siswa/[id],KesiswaanLayout,DetailSiswaPage,SiswaHeader,DeleteBtn,any,Hapus Siswa,deleteSiswa,isAdminMadrasah,/api/v1/siswa/{id},DELETE,SiswaPolicy::delete,none,id_madrasah,Admin Madrasah,Kamad;Operator;Wali Kelas;Guru BK;Guru Biasa,Deletes student master record (Admin only),doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Unit/Policies/SiswaPolicyTest.php,SOURCE_VERIFIED
Kesiswaan,Data Siswa Induk,/kesiswaan/siswa/[id],KesiswaanLayout,DetailSiswaPage,RiwayatRombelTab,RombelTimeline,any,Riwayat Rombel,riwayatRombel,isAdmin||isKamad||isOps||isWK||isBK,/api/v1/siswa/{id}/riwayat-rombel,GET,SiswaPolicy::view,none,id_madrasah,Admin;Kamad;Operator;Wali Kelas;Guru BK,Guru Biasa (non-WK),Returns historical class placement records of student,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Unit/Policies/SiswaPolicyTest.php,SOURCE_VERIFIED
Kesiswaan,Kenaikan Kelas,/kesiswaan/kenaikan-kelas,KesiswaanLayout,KenaikanKelasPage,RombelMapper,SubmitProsesBtn,any,Proses Kenaikan Kelas,prosesKenaikanKelas,isAdmin||isOps||isKamad,/api/v1/kenaikan-kelas/proses,POST,isAdminOrKamad(),none,id_madrasah,Admin;Kamad;Operator,Guru BK;Wali Kelas;Guru Biasa,Executes single-rombel class promotion (level check urutan+1),doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Feature/Kesiswaan/KesiswaanWorkflowTest.php,SOURCE_VERIFIED
Kesiswaan,Kenaikan Kelas,/kesiswaan/kenaikan-kelas,KesiswaanLayout,KenaikanKelasPage,PemetaanGrid,SavePemetaanBtn,any,Simpan Pemetaan,setPemetaan,isAdmin||isOps||isKamad,/api/v1/kenaikan-kelas/pemetaan,POST,isAdminOrKamad(),none,id_madrasah,Admin;Kamad;Operator,Guru BK;Wali Kelas;Guru Biasa,Sets default promotion target mappings across rombels,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Feature/Kesiswaan/KesiswaanWorkflowTest.php,SOURCE_VERIFIED
Kesiswaan,Kenaikan Kelas,/kesiswaan/kenaikan-kelas,KesiswaanLayout,KenaikanKelasPage,BatchPromotionModal,ExecuteBatchBtn,any,Proses Massal Kenaikan,prosesMassal,isAdmin||isOps||isKamad,/api/v1/kenaikan-kelas/proses-massal,POST,isAdminOrKamad(),none,id_madrasah,Admin;Kamad;Operator,Guru BK;Wali Kelas;Guru Biasa,Executes batch promotion across all mapped rombels,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Feature/Kesiswaan/KesiswaanWorkflowTest.php,SOURCE_VERIFIED
Kesiswaan,Pindah Rombel,/kesiswaan/pindah-rombel,KesiswaanLayout,PindahRombelPage,PindahRombelForm,SubmitPermohonanBtn,initial,Ajukan Pindah Rombel,storePindahRombel,isAdmin||isOps||isKamad||isWK,/api/v1/pindah-rombel,POST,canManageKesiswaan(),none,id_madrasah,Admin;Kamad;Operator;Wali Kelas,Guru BK;Guru Biasa,Submits transfer request with pending status (shadow massal deleted),doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Kesiswaan,Mutasi,/kesiswaan/mutasi,KesiswaanLayout,MutasiPage,MutasiForm,SubmitMutasiBtn,initial,Ajukan Mutasi,storeMutasi,isAdmin||isOps||isKamad,/api/v1/mutasi,POST,RiwayatMutasiPolicy::create,none,id_madrasah,Admin;Kamad;Operator,Guru BK;Wali Kelas;Guru Biasa,Submits student transfer out request requiring Kamad SKP approval,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Feature/Kesiswaan/MutasiControllerTest.php,SOURCE_VERIFIED
Akademik,Penjadwalan,/akademik/jadwal,AkademikLayout,JadwalPage,JadwalGrid,AddScheduleBtn,initial,Tambah Jadwal,storeJadwal,isAdmin||isKamad||isPengajarAktif,/api/v1/jadwal,POST,isAdminOrKamad(),none,id_madrasah,Admin;Kamad,Wali Kelas;Guru Biasa (non-Admin/Kamad),Creates class schedule entry with collision checking,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 5,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Akademik,Penjadwalan,/akademik/jadwal,AkademikLayout,JadwalPage,JadwalGrid,EditScheduleBtn,any,Update Jadwal,updateJadwal,isAdmin||isKamad||isPengajarAktif,/api/v1/jadwal/{id},PUT,isAdminOrKamad(),none,id_madrasah,Admin;Kamad,Wali Kelas;Guru Biasa (non-Admin/Kamad),Updates class schedule entry with collision checking,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 5,backend/app/Http/Controllers/Api/JadwalController.php,SOURCE_VERIFIED
Akademik,Penjadwalan,/akademik/jadwal,AkademikLayout,JadwalPage,JadwalGrid,DeleteScheduleBtn,any,Hapus Jadwal,deleteJadwal,isAdmin||isKamad||isPengajarAktif,/api/v1/jadwal/{id},DELETE,isAdminOrKamad(),none,id_madrasah,Admin;Kamad,Wali Kelas;Guru Biasa (non-Admin/Kamad),Deletes class schedule entry,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 5,backend/app/Http/Controllers/Api/JadwalController.php,SOURCE_VERIFIED
Akademik,Presensi Siswa (Sesi),/akademik/presensi-siswa,AkademikLayout,PresensiSiswaPage,SesiAbsensiGrid,SaveBatchBtn,any,Simpan Absensi Sesi,storeBatchAbsensi,isAdmin||isKamad||isWK||isPengajarAktif,/api/v1/absensi-siswa/batch,POST,isPengajar() || isWaliKelas(rombel),jadwal.id_rombel,id_madrasah,Admin;Kamad;Assigned Pengajar;Assigned Wali Kelas,Unassigned Teacher;Guru BK;Operator,Saves batch student attendance for specific teaching session,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 5,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Akademik,Nilai Harian,/akademik/nilai,AkademikLayout,NilaiPage,GradeGrid,SaveGradeBtn,any,Simpan Nilai,storeNilai,isAdmin||isKamad||isWK||isPengajarAktif,/api/v1/nilai,POST,isPengajar(),jadwal.id_rombel+mapel,id_madrasah,Assigned Pengajar,Admin;Kamad;Non-assigned Teacher;Wali Kelas,Saves student grades for assigned teaching subject/session,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 5,tests/Feature/Nilai/NilaiTest.php,SOURCE_VERIFIED
Kepegawaian,Data Pegawai,/kepegawaian/pegawai,KepegawaianLayout,PegawaiPage,PegawaiTable,PegawaiRow,any,Lihat List Pegawai,indexPegawai,isAdmin||isKamad,/api/v1/pegawai,GET,isAdminOrKamad(),none,id_madrasah,Admin;Kamad,Guru Biasa;Operator;Guru BK,Returns employee list protected from unauthorized PII access,doc/backend.md Bab 7,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Kepegawaian,Izin Guru,/kepegawaian/izin,KepegawaianLayout,IzinGuruPage,IzinForm,SubmitIzinBtn,initial,Catat Izin Guru,storeIzinGuru,isAdmin||isKamad,/api/v1/izin-guru,POST,isAdminOrKamad(),none,id_madrasah,Admin;Kamad,Guru Biasa;Operator;Guru BK,Records teacher leave/absence,doc/backend.md Bab 7,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Ekstrakurikuler,Ekstrakurikuler,/ekstrakurikuler,EkstrakurikulerLayout,EkstrakurikulerPage,EkstraGrid,AddEkstraBtn,initial,Tambah Ekstrakurikuler,storeEkstra,isAdmin||isPembina,/api/v1/ekstrakurikuler,POST,isAdminMadrasah(),none,id_madrasah,Admin Madrasah,Kamad;Pembina;Guru Biasa,Creates new extracurricular activity (Admin only),doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Ekstrakurikuler,Ekstrakurikuler,/ekstrakurikuler,EkstrakurikulerLayout,EkstrakurikulerPage,AnggotaList,AddAnggotaBtn,any,Tambah Anggota Ekskul,storeAnggotaEkstra,isAdmin||isPembina,/api/v1/ekstrakurikuler/{id}/anggota,POST,authorizePembina(),id_pembina,id_madrasah,Admin;Kamad;Assigned Pembina,Unassigned Pembina;Guru Biasa,Adds student to extracurricular roster,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Unit/Models/EkstraModelsTest.php,SOURCE_VERIFIED
BK,Bimbingan Konseling,/bk,BkLayout,BkPage,CatatanList,AddCatatanBtn,initial,Catat Konseling,storeCatatanBk,isKamad||isGuruBk,/api/v1/bk/catatan,POST,isGuruBk(),none,id_madrasah,Guru BK,Admin;Kamad;Operator;Guru Biasa,Records counseling session (Rahasia vs Umum classification),doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
BK,Bimbingan Konseling,/bk,BkLayout,BkPage,CatatanList,CatatanCard,any,Lihat Catatan Rahasia,indexCatatanBk,isKamad||isGuruBk,/api/v1/bk/catatan,GET,RLS Scope + BkController,author_id,id_madrasah,Authoring Guru BK;Kamad,Non-authoring Guru BK;Admin;Operator;Guru,Filters Rahasia notes strictly to authoring BK teacher and Kamad,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 4,tests/Feature/Tenant/TenantIsolationTest.php,SOURCE_VERIFIED
Persuratan,Buat & Arsip Surat,/persuratan,PersuratanLayout,PersuratanPage,SuratForm,SubmitSuratBtn,initial,Buat Surat,storeSurat,isAdmin||isOps||isKamad,/api/v1/surat,POST,canManageSurat(),none,id_madrasah,Admin;Operator;Kamad,Guru Biasa;Guru BK;Wali Kelas,Creates official draft letter,doc/backend.md Bab 7,tests/Feature/Kesiswaan/SuratWorkflowTest.php,SOURCE_VERIFIED
Persuratan,Buat & Arsip Surat,/persuratan,PersuratanLayout,PersuratanPage,SuratList,SignLetterBtn,pending,Tanda Tangani Surat,tandatanganiSurat,isAdmin||isOps||isKamad,/api/v1/surat/{id}/tandatangani,POST,isKepalaMadrasah(),meta_penandatangan,id_madrasah,Kepala Madrasah,Admin;Operator;Guru,Digitally signs letter and issues final publication status,doc/backend.md Bab 7,tests/Feature/Persuratan/SuratSignatureTest.php,SOURCE_VERIFIED
Persuratan,Buat & Arsip Surat,/persuratan,PersuratanLayout,PersuratanPage,TemplateList,AddTemplateBtn,initial,Tambah Template Surat,storeTemplateSurat,isAdmin||isOps||isKamad,/api/v1/template-surat,POST,canManageSurat(),none,id_madrasah,Admin;Operator;Kamad,Guru Biasa;Guru BK;Wali Kelas,Creates letter template layout,doc/backend.md Bab 7,tests/Feature/Persuratan/TemplateSuratTest.php,SOURCE_VERIFIED
Wawasan,Dashboard AI,/wawasan,WawasanLayout,WawasanPage,RiskWidget,RiskCard,any,Lihat Siswa Berisiko,siswaBerisiko,isAdmin||isKamad||isWK,/api/v1/wawasan/siswa-berisiko,GET,isAdminOrKamad() || isWaliKelas(rombel),rombel.id_wali_kelas,id_madrasah,Admin;Kamad;Assigned Wali Kelas,Unassigned Wali Kelas;Guru Biasa;Operator,Returns AI risk analysis scoped to assigned homeroom,doc/backend.md Bab 7,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Wawasan,Dashboard AI,/wawasan,WawasanLayout,WawasanPage,ScheduleAiWidget,RecCard,any,Lihat Rekomendasi Jadwal,rekomendasiJadwal,isAdmin||isKamad||isWK,/api/v1/wawasan/rekomendasi-jadwal,GET,isAdminOrKamad(),none,id_madrasah,Admin;Kamad,Wali Kelas;Guru Biasa;Operator,Returns AI schedule optimization suggestions,doc/backend.md Bab 7,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Referensi,Mapel Tingkat Libur,/referensi,ReferensiLayout,ReferensiPage,TahunTable,AddTahunBtn,initial,Tambah Tahun Ajaran,storeTahunAjaran,isAdminMadrasah,/api/v1/referensi/tahun-ajaran,POST,canManageReferensi(),none,id_madrasah,Admin Madrasah,Kamad;Operator;Guru Biasa,Creates new academic year record,doc/backend.md Bab 7,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Referensi,Mapel Tingkat Libur,/referensi,ReferensiLayout,ReferensiPage,TahunTable,AktifkanBtn,any,Aktifkan Tahun Ajaran,aktifkanTahunAjaran,isAdminMadrasah,/api/v1/referensi/tahun-ajaran/{id}/aktifkan,PATCH,canManageReferensi(),none,id_madrasah,Admin Madrasah,Kamad;Operator;Guru Biasa,Activates selected academic year and deactivates all others in tenant,doc/backend.md Bab 7,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Referensi,Mapel Tingkat Libur,/referensi,ReferensiLayout,ReferensiPage,MapelTable,AddMapelBtn,initial,Tambah Mapel,storeMataPelajaran,isAdminMadrasah,/api/v1/referensi/mata-pelajaran,POST,canManageReferensi(),none,id_madrasah,Admin Madrasah,Kamad;Operator;Guru Biasa,Creates subject reference in tenant,doc/backend.md Bab 7,tests/Feature/Auth/AuthorizationGuardTest.php,SOURCE_VERIFIED
Referensi,Mapel Tingkat Libur,/referensi/wilayah,ReferensiLayout,MasterWilayahPage,WilayahGrid,SelectProvinsi,any,Cari Wilayah,indexProvinsi,isAdminMadrasah,/api/v1/wilayah/provinsi,GET,public,none,none,ALL_AUTHENTICATED,none,Public lookup for Indonesian administrative regions,doc/backend.md Bab 7,tests/Feature/Referensi/WilayahTest.php,SOURCE_VERIFIED
Akun,Kelola Akun Penugasan,/akun,AkunLayout,AkunPage,PenugasanGrid,AssignRoleBtn,initial,Tambah Penugasan,storePenugasan,isAdminMadrasah,/api/v1/penugasan-jabatan,POST,PenugasanJabatanPolicy::create,none,id_madrasah,Admin Madrasah,Kamad;Operator;Guru Biasa,Grants structural role assignment to employee,doc/backend.md Bab 7,tests/Feature/Kepegawaian/PenugasanJabatanTest.php,SOURCE_VERIFIED
Akun,Kelola Akun Penugasan,/akun,AkunLayout,AkunPage,PenugasanGrid,RevokeRoleBtn,any,Hapus Penugasan,destroyPenugasan,isAdminMadrasah,/api/v1/penugasan-jabatan/{id},DELETE,PenugasanJabatanPolicy::delete,none,id_madrasah,Admin Madrasah,Kamad;Operator;Guru Biasa,Revokes structural role assignment from employee,doc/backend.md Bab 7,tests/Feature/Kepegawaian/PenugasanJabatanTest.php,SOURCE_VERIFIED
AKUN,Portal Orang Tua,/portal-ortu,none,PortalOrtuPage,ComingSoonWidget,None,gated,Portal Orang Tua,none,NEXT_PUBLIC_PHASE_4_ENABLED===true,none,N/A,none,none,none,Orang Tua / Wali,none,Gated Phase 4 feature toggle placeholder for parent portal,doc/SIM_Madrasah_Terpadu_SRS_v2.md Bab 12,frontend/src/components/app-shell.tsx,CONTRACT_GAP
